titles,platforms,metascore,userscore,genre,date
Sniper Elite VR,PC,67,7.1,action,8-Jul-21
Boomerang X,PC,81,6.6,action,8-Jul-21
Boomerang X,Switch,78,6.3,action,8-Jul-21
Alex Kidd in Miracle World DX,PlayStation 4,62,6.4,action,22-Jun-21
Alex Kidd in Miracle World DX,Switch,64,7,action,22-Jun-21
LEGO Builder's Journey,PC,79,6.8,action,22-Jun-21
Metro Exodus: Complete Edition,Xbox Series X,81,7,action,18-Jun-21
Metro Exodus: Complete Edition,PlayStation 5,81,7.3,action,18-Jun-21
Chivalry II,PC,82,6.2,action,8-Jun-21
Chivalry II,PlayStation 4,66,6,action,8-Jun-21
Chivalry II,Xbox Series X,81,6.7,action,8-Jun-21
Mighty Goose,Switch,74,7.2,action,5-Jun-21
Sniper Ghost Warrior Contracts 2,PlayStation 4,68,7,action,4-Jun-21
Sniper Ghost Warrior Contracts 2,PC,72,7.3,action,4-Jun-21
Ghosts 'n Goblins Resurrection,PlayStation 4,68,6.8,action,1-Jun-21
Virtua Fighter 5 Ultimate Showdown,PlayStation 4,78,6.6,action,1-Jun-21
Wonder Boy: Asha in Monster World,Switch,66,5.5,action,28-May-21
Knockout City,Switch,83,6.3,action,21-May-21
Knockout City,PC,80,6.6,action,21-May-21
Knockout City,Xbox One,83,7,action,21-May-21
Knockout City,PlayStation 4,80,6.9,action,21-May-21
R-Type Final 2,PlayStation 4,73,6.1,action,30-Apr-21
Returnal,PlayStation 5,85,7.2,action,30-Apr-21
New Pokemon Snap,Switch,79,7,action,30-Apr-21
R-Type Final 2,Xbox Series X,78,5.4,action,30-Apr-21
Terminator: Resistance Enhanced,PlayStation 5,61,6.9,action,30-Apr-21
Chivalry II,PlayStation 5,86,6.1,action,23-Apr-21
Fez,Switch,88,6.9,action,14-Apr-21
Star Wars: Republic Commando,PlayStation 4,58,6.4,action,6-Apr-21
Outriders,PC,73,5.7,action,1-Apr-21
Outriders,PlayStation 5,74,5.8,action,1-Apr-21
Outriders,Xbox Series X,73,7.1,action,1-Apr-21
DOOM 3: VR Edition,PlayStation 4,67,7.2,action,29-Mar-21
Kaze and the Wild Masks,PlayStation 4,77,7.3,action,26-Mar-21
Balan Wonderworld,PlayStation 5,51,5.5,action,26-Mar-21
Crash Bandicoot: On the Run!,iOS,59,5.2,action,25-Mar-21
Plants vs. Zombies: Battle for Neighborville - Complete Edition,Switch,74,7.3,action,19-Mar-21
Marvel's Avengers,PlayStation 5,73,6.9,action,18-Mar-21
DOOM Eternal: The Ancient Gods Part Two,PC,77,6.2,action,18-Mar-21
DOOM Eternal: The Ancient Gods Part Two,PlayStation 4,78,6,action,18-Mar-21
Crash Bandicoot 4: It's About Time,Xbox Series X,86,7,action,12-Mar-21
Apex Legends,Switch,54,5.1,action,9-Mar-21
Mail Mole,Switch,72,6.4,action,4-Mar-21
Foregone,PC,73,5.7,action,1-Mar-21
Ghosts 'n Goblins Resurrection,Switch,75,6.8,action,25-Feb-21
Yupitergrad,PlayStation 4,74,7,action,25-Feb-21
Pumpkin Jack,PlayStation 4,76,7.1,action,24-Feb-21
Blue Fire,Switch,71,7.4,action,4-Feb-21
Habroxia 2,PlayStation 4,76,6.8,action,3-Feb-21
The Pedestrian,PlayStation 5,83,7.1,action,29-Jan-21
Olija,PC,77,6.1,action,28-Jan-21
Cyber Shadow,PC,81,7,action,26-Jan-21
Cyber Shadow,Switch,82,7.4,action,26-Jan-21
Cyber Shadow,PlayStation 4,78,7.1,action,26-Jan-21
Cyber Shadow,Xbox One,81,7.2,action,26-Jan-21
Cyber Shadow,PlayStation 5,77,6.7,action,26-Jan-21
Skul: The Hero Slayer,PC,80,6.6,action,21-Jan-21
Scott Pilgrim vs. the World: The Game - Complete Edition,PlayStation 4,75,6.3,action,14-Jan-21
Scott Pilgrim vs. the World: The Game - Complete Edition,Xbox One,78,6.7,action,14-Jan-21
Scott Pilgrim vs. the World: The Game - Complete Edition,Switch,79,7.4,action,14-Jan-21
Scott Pilgrim vs. the World: The Game - Complete Edition,PC,75,5.3,action,14-Jan-21
Super Meat Boy Forever,Switch,66,5.2,action,23-Dec-20
Morkredd,Xbox Series X,60,5.7,action,10-Dec-20
Medal of Honor: Above and Beyond,PC,67,6.3,action,10-Dec-20
Taiko no Tatsujin: Rhythmic Adventure Pack,Switch,70,5.8,action,3-Dec-20
Warframe,PlayStation 5,85,6.9,action,26-Nov-20
Mortal Kombat 11 Ultimate,PlayStation 4,90,7.1,action,17-Nov-20
Mortal Kombat 11 Ultimate,PC,91,6.9,action,17-Nov-20
Kingdom Hearts: Melody of Memory,PlayStation 4,74,7.3,action,13-Nov-20
Kingdom Hearts: Melody of Memory,Xbox One,75,7.3,action,13-Nov-20
Just Dance 2021,Switch,70,6.1,action,12-Nov-20
Borderlands 3,PlayStation 5,91,7.4,action,12-Nov-20
Destiny 2: Beyond Light,Xbox Series X,71,5.5,action,10-Nov-20
Destiny 2: Beyond Light,PlayStation 5,77,5.9,action,10-Nov-20
Gears 5,Xbox Series X,83,7.3,action,10-Nov-20
Fuser,PlayStation 4,81,7.2,action,10-Nov-20
Ghostrunner,Switch,73,6.9,action,10-Nov-20
Fuser,Switch,80,6.8,action,9-Nov-20
Fuser,PC,74,6.7,action,9-Nov-20
Mad Rat Dead,PlayStation 4,69,6.7,action,30-Oct-20
Ghostrunner,PlayStation 4,76,7.3,action,27-Oct-20
Cobra Kai: The Karate Kid Saga Continues,PlayStation 4,67,6.7,action,27-Oct-20
Cobra Kai: The Karate Kid Saga Continues,Xbox One,60,6.1,action,27-Oct-20
Pumpkin Jack,Xbox One,80,6.9,action,23-Oct-20
ScourgeBringer,PC,76,7.4,action,21-Oct-20
DOOM Eternal: The Ancient Gods Part One,PlayStation 4,76,6.8,action,20-Oct-20
9 Monkeys of Shaolin,Xbox One,72,7.2,action,16-Oct-20
9 Monkeys of Shaolin,PC,71,7.3,action,16-Oct-20
9 Monkeys of Shaolin,PlayStation 4,71,6.4,action,16-Oct-20
Foregone,Switch,70,7.2,action,13-Oct-20
G.I. Joe: Operation Blackout,PlayStation 4,51,5.7,action,13-Oct-20
G.I. Joe: Operation Blackout,Xbox One,56,5.5,action,13-Oct-20
Foregone,PlayStation 4,64,7.2,action,5-Oct-20
Super Mario Bros. 35,Switch,75,7.4,action,1-Oct-20
Spelunky 2,PC,91,6.6,action,29-Sep-20
Until You Fall,PlayStation 4,85,7.3,action,29-Sep-20
Serious Sam 4,PC,68,7.1,action,24-Sep-20
Fight Crab,Switch,70,7.3,action,15-Sep-20
Jump Force: Deluxe Edition,Switch,50,7.3,action,28-Aug-20
Struggling,PC,65,7,action,27-Aug-20
Shing!,PlayStation 4,66,7.3,action,27-Aug-20
The Last Campfire,Switch,83,7.4,action,27-Aug-20
The Last Campfire,PlayStation 4,81,7.2,action,27-Aug-20
No Straight Roads,PlayStation 4,70,6.8,action,25-Aug-20
No Straight Roads,Switch,70,5.2,action,25-Aug-20
New Super Lucky's Tale,PlayStation 4,76,5.7,action,21-Aug-20
New Super Lucky's Tale,Xbox One,80,6.4,action,21-Aug-20
Battletoads,Xbox One,72,6.5,action,20-Aug-20
Battletoads,PC,66,5.2,action,20-Aug-20
Griefhelm,PC,57,6.8,action,20-Aug-20
Remnant: From the Ashes - Subject 2923,PC,78,5.3,action,20-Aug-20
Hyper Scape,PlayStation 4,62,5.1,action,11-Aug-20
West of Dead,PlayStation 4,63,6.2,action,5-Aug-20
Hellbound,PC,61,6.2,action,4-Aug-20
Pistol Whip,PlayStation 4,88,7.1,action,30-Jul-20
Fight Crab,PC,60,7.3,action,29-Jul-20
Cubicity,Switch,60,6.8,action,25-Jul-20
Tannenberg,Xbox One,72,6.3,action,24-Jul-20
Necrobarista,PC,81,6.1,action,22-Jul-20
Rock of Ages 3: Make & Break,PC,72,5.7,action,21-Jul-20
Rock of Ages 3: Make & Break,PlayStation 4,65,6.2,action,21-Jul-20
Panzer Paladin,Switch,77,6.5,action,21-Jul-20
"Warhammer 40,000: Mechanicus",PlayStation 4,67,6.9,action,17-Jul-20
"Warhammer 40,000: Mechanicus",Switch,72,6.4,action,17-Jul-20
SUPERHOT: MIND CONTROL DELETE,PC,78,6.5,action,16-Jul-20
Radical Rabbit Stew,PlayStation 4,70,6.6,action,16-Jul-20
Waifu Uncovered,Switch,58,7,action,16-Jul-20
SUPERHOT: MIND CONTROL DELETE,PlayStation 4,77,6.5,action,16-Jul-20
SUPERHOT: MIND CONTROL DELETE,Xbox One,82,5.2,action,16-Jul-20
Neon Abyss,PC,74,6.2,action,14-Jul-20
Rocket Arena,PC,73,5,action,14-Jul-20
Neon Abyss,PlayStation 4,80,7.4,action,14-Jul-20
Neon Abyss,Switch,79,5.7,action,14-Jul-20
Neon Abyss,Xbox One,81,6.7,action,14-Jul-20
Marvel's Iron Man VR,PlayStation 4,73,6.2,action,3-Jul-20
Borderlands 3: Bounty of Blood,PC,77,5.6,action,25-Jun-20
Ninjala,Switch,68,6.6,action,24-Jun-20
West of Dead,Xbox One,73,6.8,action,18-Jun-20
West of Dead,PC,69,6.1,action,18-Jun-20
Disintegration,Xbox One,67,6,action,16-Jun-20
Disintegration,PC,62,5.9,action,15-Jun-20
Project Warlock,Xbox One,79,6.1,action,12-Jun-20
Samurai Shodown,PC,76,6.1,action,11-Jun-20
Valorant,PC,80,5,action,2-Jun-20
Skelattack,PlayStation 4,65,6.5,action,2-Jun-20
Skelattack,Switch,60,6.4,action,2-Jun-20
Atomicrops,PC,78,7.4,action,28-May-20
Shantae and the Seven Sirens,Switch,79,6.5,action,28-May-20
Shantae and the Seven Sirens,PlayStation 4,71,5.7,action,28-May-20
Shantae and the Seven Sirens,PC,80,6.1,action,28-May-20
Shantae and the Seven Sirens,Xbox One,75,5.1,action,28-May-20
Mortal Kombat 11: Aftermath,PlayStation 4,75,6.2,action,26-May-20
Mortal Kombat 11: Aftermath,Xbox One,79,6.7,action,26-May-20
The Wonderful 101: Remastered,Switch,72,6.6,action,19-May-20
The Wonderful 101: Remastered,PC,85,6.3,action,19-May-20
The Wonderful 101: Remastered,PlayStation 4,76,6.4,action,19-May-20
GORN,PlayStation 4,68,5,action,19-May-20
Ion Fury,PlayStation 4,75,6.8,action,14-May-20
Ion Fury,Xbox One,70,6.7,action,14-May-20
Ion Fury,Switch,77,7.4,action,14-May-20
Huntdown,Xbox One,87,5.6,action,12-May-20
Fury Unleashed,PC,79,6.7,action,8-May-20
Fury Unleashed,PlayStation 4,78,6.6,action,8-May-20
Fury Unleashed,Xbox One,80,5,action,8-May-20
Void Bastards,Switch,78,6.4,action,7-May-20
World War Z Game of the Year Edition,PlayStation 4,68,5.3,action,5-May-20
Call of Duty: Modern Warfare 2 Campaign Remastered,PC,71,7.4,action,30-Apr-20
Dread Nautical,PlayStation 4,73,5,action,29-Apr-20
Moving Out,PC,79,7.4,action,28-Apr-20
Sakura Wars,PlayStation 4,73,7.3,action,28-Apr-20
Moving Out,Switch,77,7,action,28-Apr-20
Moving Out,Xbox One,78,6.9,action,28-Apr-20
Remnant: From the Ashes - Swamps of Corsus,PC,81,7.1,action,28-Apr-20
Predator: Hunting Grounds,PlayStation 4,56,6.1,action,24-Apr-20
Predator: Hunting Grounds,PC,62,5,action,24-Apr-20
HyperParasite,Xbox One,74,7.1,action,3-Apr-20
HyperParasite,PlayStation 4,67,6.8,action,3-Apr-20
My Friend Pedro,PlayStation 4,71,7.2,action,2-Apr-20
Totally Reliable Delivery Service,Xbox One,63,6.2,action,1-Apr-20
Zombie Army Trilogy,Switch,70,6.8,action,31-Mar-20
Call of Duty: Modern Warfare 2 Campaign Remastered,PlayStation 4,71,7.3,action,31-Mar-20
Lost Words: Beyond the Page,Stadia,78,7,action,27-Mar-20
Star Wars Jedi Knight: Jedi Academy,PlayStation 4,68,5.1,action,26-Mar-20
Panzer Dragoon,Switch,63,7.4,action,26-Mar-20
